"","X","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"5942",5942,35,"Private","Doctorate",16,"Married-spouse-absent","Other","Male",60,">50K"
"5943",5943,38,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",70,"<=50K"
"5944",5944,36,"Private","Bachelors",13,"Divorced","Black","Female",40,"<=50K"
"5945",5945,49,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"5946",5946,54,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"5947",5947,30,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"5948",5948,26,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"5949",5949,32,"Private","Bachelors",13,"Married-spouse-absent","White","Male",55,"<=50K"
"5950",5950,23,"Private","HS-grad",9,"Never-married","White","Male",36,"<=50K"
"5951",5951,40,"Private","Bachelors",13,"Never-married","White","Female",45,">50K"
"5952",5952,29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"5953",5953,28,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"5954",5954,41,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"5955",5955,34,"Private","11th",7,"Married-civ-spouse","Black","Male",40,"<=50K"
"5956",5956,37,"Private","HS-grad",9,"Never-married","Black","Male",20,"<=50K"
"5957",5957,39,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"5958",5958,29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"5959",5959,55,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"5960",5960,30,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,">50K"
"5961",5961,33,"State-gov","Doctorate",16,"Never-married","White","Male",40,"<=50K"
"5962",5962,55,"Federal-gov","Assoc-voc",11,"Married-civ-spouse","White","Male",40,"<=50K"
"5963",5963,33,"State-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"5964",5964,47,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,">50K"
"5965",5965,28,"Private","Bachelors",13,"Never-married","Black","Male",50,"<=50K"
"5966",5966,33,"Private","HS-grad",9,"Divorced","White","Male",49,"<=50K"
"5967",5967,62,"Private","HS-grad",9,"Separated","White","Female",40,"<=50K"
"5968",5968,42,"Private","HS-grad",9,"Separated","White","Male",27,"<=50K"
"5969",5969,63,"Private","Some-college",10,"Married-civ-spouse","White","Male",15,"<=50K"
"5970",5970,21,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"5971",5971,65,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"5972",5972,28,"Federal-gov","Assoc-acdm",12,"Married-civ-spouse","Amer-Indian-Eskimo","Male",40,"<=50K"
"5973",5973,51,"Self-emp-not-inc","Masters",14,"Married-civ-spouse","White","Female",55,">50K"
"5974",5974,33,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"5975",5975,67,"Self-emp-not-inc","7th-8th",4,"Married-civ-spouse","White","Male",12,"<=50K"
"5976",5976,36,"Private","11th",7,"Married-civ-spouse","White","Male",40,"<=50K"
"5977",5977,19,"Private","Some-college",10,"Never-married","White","Female",30,"<=50K"
"5978",5978,60,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"5979",5979,26,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"5980",5980,35,"Private","9th",5,"Married-civ-spouse","White","Male",40,"<=50K"
"5981",5981,28,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"5982",5982,67,"Private","Assoc-acdm",12,"Divorced","White","Female",40,"<=50K"
"5983",5983,31,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"5984",5984,49,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"5985",5985,64,"Private","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"5986",5986,40,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"5987",5987,35,"Local-gov","HS-grad",9,"Separated","White","Male",42,"<=50K"
"5988",5988,19,"State-gov","Some-college",10,"Never-married","White","Female",8,"<=50K"
"5989",5989,53,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"5990",5990,57,"State-gov","Some-college",10,"Widowed","White","Female",40,"<=50K"
"5991",5991,47,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",60,">50K"
"5992",5992,47,"Private","Some-college",10,"Divorced","White","Female",42,"<=50K"
"5993",5993,38,"Federal-gov","HS-grad",9,"Married-civ-spouse","White","Male",55,">50K"
"5994",5994,38,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"5995",5995,35,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"5996",5996,58,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"5997",5997,56,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"5998",5998,36,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"5999",5999,57,"Private","11th",7,"Divorced","Black","Male",54,"<=50K"
"6000",6000,60,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"6001",6001,81,"Self-emp-inc","HS-grad",9,"Widowed","White","Female",40,"<=50K"
"6002",6002,46,"Private","5th-6th",3,"Widowed","White","Female",40,"<=50K"
"6003",6003,18,"Private","11th",7,"Never-married","White","Male",10,"<=50K"
"6004",6004,42,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6005",6005,26,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"6006",6006,31,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"6007",6007,26,"Federal-gov","Masters",14,"Never-married","White","Female",40,"<=50K"
"6008",6008,39,"Private","Some-college",10,"Married-civ-spouse","White","Male",60,"<=50K"
"6009",6009,31,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Male",38,">50K"
"6010",6010,28,"Private","Some-college",10,"Never-married","Amer-Indian-Eskimo","Male",47,"<=50K"
"6011",6011,34,"State-gov","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"6012",6012,53,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"6013",6013,41,"State-gov","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"6014",6014,34,"Self-emp-not-inc","9th",5,"Never-married","Black","Male",38,"<=50K"
"6015",6015,61,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Female",30,"<=50K"
"6016",6016,46,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Male",60,"<=50K"
"6017",6017,34,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"6018",6018,67,"Private","HS-grad",9,"Married-civ-spouse","White","Male",10,"<=50K"
"6019",6019,36,"Private","HS-grad",9,"Never-married","White","Male",43,"<=50K"
"6020",6020,31,"Private","Prof-school",15,"Never-married","White","Male",50,"<=50K"
"6021",6021,35,"Self-emp-not-inc","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"6022",6022,37,"Local-gov","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"6023",6023,27,"Private","Some-college",10,"Married-civ-spouse","White","Female",30,">50K"
"6024",6024,23,"Private","Some-college",10,"Never-married","Asian-Pac-Islander","Female",40,"<=50K"
"6025",6025,20,"Private","Some-college",10,"Never-married","White","Female",20,"<=50K"
"6026",6026,72,"Private","7th-8th",4,"Married-civ-spouse","White","Female",10,"<=50K"
"6027",6027,61,"Private","HS-grad",9,"Widowed","White","Male",50,"<=50K"
"6028",6028,41,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"6029",6029,45,"Federal-gov","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"6030",6030,24,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"6031",6031,35,"State-gov","Some-college",10,"Separated","Black","Male",40,"<=50K"
"6032",6032,44,"Local-gov","Masters",14,"Married-civ-spouse","White","Female",40,">50K"
"6033",6033,30,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"6034",6034,64,"Private","HS-grad",9,"Married-civ-spouse","White","Male",48,"<=50K"
"6035",6035,69,"Private","HS-grad",9,"Married-civ-spouse","White","Male",35,"<=50K"
"6036",6036,70,"Private","HS-grad",9,"Married-civ-spouse","White","Male",16,"<=50K"
"6037",6037,42,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"6038",6038,22,"Private","Bachelors",13,"Never-married","White","Female",35,"<=50K"
"6039",6039,17,"Private","10th",6,"Never-married","White","Female",24,"<=50K"
"6040",6040,51,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"6041",6041,30,"Private","11th",7,"Never-married","White","Male",30,"<=50K"
"6042",6042,31,"Private","Bachelors",13,"Never-married","Black","Female",40,"<=50K"
"6043",6043,50,"Self-emp-inc","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"6044",6044,30,"Private","Assoc-voc",11,"Never-married","White","Male",36,"<=50K"
"6045",6045,43,"Private","HS-grad",9,"Married-spouse-absent","White","Female",40,"<=50K"
"6046",6046,22,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"6047",6047,32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",44,"<=50K"
"6048",6048,32,"Self-emp-not-inc","Some-college",10,"Never-married","White","Male",50,"<=50K"
"6049",6049,37,"Private","HS-grad",9,"Never-married","White","Male",35,"<=50K"
"6050",6050,62,"Private","Assoc-voc",11,"Widowed","White","Female",33,"<=50K"
"6051",6051,36,"Private","Bachelors",13,"Divorced","White","Male",50,">50K"
"6052",6052,29,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"6053",6053,19,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"6054",6054,64,"State-gov","Bachelors",13,"Married-civ-spouse","White","Male",45,"<=50K"
"6055",6055,32,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"6056",6056,30,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"6057",6057,24,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"6058",6058,20,"Private","11th",7,"Never-married","White","Male",40,"<=50K"
"6059",6059,33,"Private","Bachelors",13,"Married-civ-spouse","White","Female",5,">50K"
"6060",6060,50,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",48,">50K"
"6061",6061,45,"Private","Masters",14,"Never-married","White","Female",40,"<=50K"
"6062",6062,38,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"6063",6063,51,"Without-pay","Assoc-acdm",12,"Married-civ-spouse","White","Male",45,"<=50K"
"6064",6064,47,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"6065",6065,53,"Local-gov","Masters",14,"Married-civ-spouse","White","Male",40,">50K"
"6066",6066,33,"Self-emp-not-inc","Assoc-voc",11,"Divorced","Black","Male",50,"<=50K"
"6067",6067,38,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"6068",6068,47,"Private","Masters",14,"Divorced","White","Female",50,"<=50K"
"6069",6069,17,"Private","11th",7,"Never-married","White","Female",24,"<=50K"
"6070",6070,21,"Private","HS-grad",9,"Divorced","Black","Female",40,"<=50K"
"6071",6071,41,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"6072",6072,28,"Private","Some-college",10,"Divorced","White","Male",35,"<=50K"
"6073",6073,47,"Private","11th",7,"Divorced","White","Female",28,"<=50K"
"6074",6074,38,"Self-emp-not-inc","Doctorate",16,"Married-civ-spouse","White","Male",55,">50K"
"6075",6075,54,"Private","Some-college",10,"Married-civ-spouse","Asian-Pac-Islander","Male",50,">50K"
"6076",6076,45,"Private","Some-college",10,"Married-civ-spouse","White","Male",48,">50K"
"6077",6077,45,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"6078",6078,29,"Local-gov","Masters",14,"Married-civ-spouse","White","Male",50,"<=50K"
"6079",6079,44,"State-gov","Doctorate",16,"Married-civ-spouse","White","Female",40,">50K"
"6080",6080,66,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",10,"<=50K"
"6081",6081,35,"Private","Bachelors",13,"Married-civ-spouse","White","Male",55,"<=50K"
"6082",6082,66,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",30,"<=50K"
"6083",6083,24,"Private","Some-college",10,"Never-married","White","Female",20,"<=50K"
"6084",6084,30,"Private","Some-college",10,"Never-married","Black","Male",25,"<=50K"
"6085",6085,38,"Private","Some-college",10,"Divorced","Black","Male",40,"<=50K"
"6086",6086,17,"Private","11th",7,"Never-married","White","Male",20,"<=50K"
"6087",6087,20,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"6088",6088,45,"Self-emp-not-inc","Assoc-acdm",12,"Married-civ-spouse","White","Male",40,">50K"
"6089",6089,32,"Local-gov","Some-college",10,"Divorced","White","Female",30,"<=50K"
"6090",6090,18,"Private","10th",6,"Never-married","White","Female",12,"<=50K"
"6091",6091,33,"State-gov","Masters",14,"Married-civ-spouse","Asian-Pac-Islander","Male",20,"<=50K"
"6092",6092,37,"Private","Assoc-voc",11,"Divorced","Black","Female",40,"<=50K"
"6093",6093,28,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"6094",6094,60,"Local-gov","HS-grad",9,"Widowed","White","Female",40,"<=50K"
"6095",6095,36,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"6096",6096,19,"Private","HS-grad",9,"Never-married","White","Female",35,"<=50K"
"6097",6097,53,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"6098",6098,57,"Private","10th",6,"Widowed","White","Female",8,"<=50K"
"6099",6099,32,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"6100",6100,32,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"6101",6101,35,"Self-emp-not-inc","10th",6,"Married-civ-spouse","White","Female",2,"<=50K"
"6102",6102,51,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"6103",6103,46,"Local-gov","Masters",14,"Married-civ-spouse","White","Male",40,">50K"
"6104",6104,31,"Private","9th",5,"Never-married","White","Male",40,"<=50K"
"6105",6105,29,"Private","Some-college",10,"Married-civ-spouse","White","Female",40,">50K"
"6106",6106,40,"Private","HS-grad",9,"Divorced","Black","Female",40,"<=50K"
"6107",6107,52,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"6108",6108,42,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",66,"<=50K"
"6109",6109,42,"Self-emp-not-inc","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"6110",6110,43,"Federal-gov","HS-grad",9,"Married-civ-spouse","White","Male",55,">50K"
"6111",6111,38,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Female",40,">50K"
"6112",6112,34,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6113",6113,27,"Private","Masters",14,"Never-married","White","Male",50,"<=50K"
"6114",6114,47,"Private","HS-grad",9,"Never-married","Other","Male",40,"<=50K"
"6115",6115,31,"State-gov","Some-college",10,"Never-married","White","Male",40,"<=50K"
"6116",6116,20,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"6117",6117,48,"Private","Bachelors",13,"Married-civ-spouse","White","Male",80,">50K"
"6118",6118,57,"Private","Some-college",10,"Widowed","Asian-Pac-Islander","Female",40,"<=50K"
"6119",6119,63,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",80,"<=50K"
"6120",6120,24,"Private","11th",7,"Never-married","Black","Female",30,"<=50K"
"6121",6121,28,"Local-gov","Some-college",10,"Never-married","White","Male",90,"<=50K"
"6122",6122,64,"Self-emp-not-inc","7th-8th",4,"Married-civ-spouse","White","Male",60,"<=50K"
"6123",6123,29,"Private","Masters",14,"Married-civ-spouse","White","Male",40,">50K"
"6124",6124,23,"Private","HS-grad",9,"Widowed","White","Male",38,"<=50K"
"6125",6125,46,"Private","Bachelors",13,"Married-civ-spouse","White","Female",40,">50K"
"6126",6126,77,"Private","HS-grad",9,"Widowed","White","Female",5,"<=50K"
"6127",6127,31,"Private","5th-6th",3,"Married-civ-spouse","White","Male",40,"<=50K"
"6128",6128,46,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Male",60,">50K"
"6129",6129,25,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"6130",6130,20,"State-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"6131",6131,35,"Private","Bachelors",13,"Never-married","White","Female",50,">50K"
"6132",6132,47,"Private","HS-grad",9,"Never-married","White","Male",41,"<=50K"
"6133",6133,52,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"6134",6134,31,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"6135",6135,28,"State-gov","Bachelors",13,"Never-married","Asian-Pac-Islander","Female",40,">50K"
"6136",6136,31,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"6137",6137,41,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"6138",6138,23,"Private","Some-college",10,"Never-married","White","Male",30,"<=50K"
"6139",6139,40,"Private","Masters",14,"Married-civ-spouse","Black","Male",40,">50K"
"6140",6140,21,"Local-gov","Some-college",10,"Never-married","White","Female",35,"<=50K"
"6141",6141,61,"Private","Assoc-voc",11,"Divorced","Black","Female",32,"<=50K"
"6142",6142,34,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"6143",6143,44,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6144",6144,26,"Private","Some-college",10,"Never-married","Black","Male",55,"<=50K"
"6145",6145,37,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Male",47,"<=50K"
"6146",6146,18,"Private","11th",7,"Never-married","White","Male",20,"<=50K"
"6147",6147,52,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,"<=50K"
"6148",6148,31,"Local-gov","HS-grad",9,"Separated","Black","Male",40,"<=50K"
"6149",6149,21,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"6150",6150,22,"Private","Some-college",10,"Married-civ-spouse","Other","Female",15,"<=50K"
"6151",6151,22,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6152",6152,40,"Private","Masters",14,"Married-civ-spouse","White","Male",40,"<=50K"
"6153",6153,41,"Private","7th-8th",4,"Married-civ-spouse","White","Male",40,"<=50K"
"6154",6154,73,"Local-gov","5th-6th",3,"Widowed","Asian-Pac-Islander","Female",25,"<=50K"
"6155",6155,17,"Private","9th",5,"Never-married","White","Female",15,"<=50K"
"6156",6156,49,"Private","HS-grad",9,"Widowed","Black","Female",35,"<=50K"
"6157",6157,42,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"6158",6158,35,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"6159",6159,45,"Private","Bachelors",13,"Divorced","Asian-Pac-Islander","Female",40,"<=50K"
"6160",6160,50,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6161",6161,38,"Private","Bachelors",13,"Never-married","White","Female",42,"<=50K"
"6162",6162,18,"Private","10th",6,"Never-married","White","Female",25,"<=50K"
"6163",6163,17,"Private","11th",7,"Never-married","White","Male",6,"<=50K"
"6164",6164,33,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"6165",6165,43,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"6166",6166,43,"Local-gov","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"6167",6167,37,"Private","HS-grad",9,"Married-spouse-absent","White","Male",12,"<=50K"
"6168",6168,52,"State-gov","7th-8th",4,"Married-civ-spouse","White","Male",40,"<=50K"
"6169",6169,22,"Private","HS-grad",9,"Never-married","White","Female",50,"<=50K"
"6170",6170,83,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"6171",6171,21,"Private","Some-college",10,"Never-married","White","Male",35,"<=50K"
"6172",6172,45,"Federal-gov","Assoc-acdm",12,"Married-civ-spouse","White","Male",72,">50K"
"6173",6173,40,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6174",6174,61,"Private","Bachelors",13,"Married-civ-spouse","White","Male",32,">50K"
"6175",6175,23,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"6176",6176,19,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"6177",6177,47,"Local-gov","Masters",14,"Married-civ-spouse","Black","Female",35,">50K"
"6178",6178,32,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"6179",6179,24,"Private","Bachelors",13,"Never-married","Other","Female",10,"<=50K"
"6180",6180,43,"Private","Bachelors",13,"Married-civ-spouse","White","Female",30,">50K"
"6181",6181,55,"Private","Doctorate",16,"Married-civ-spouse","White","Male",56,">50K"
"6182",6182,58,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"6183",6183,25,"Private","7th-8th",4,"Married-civ-spouse","White","Male",50,">50K"
"6184",6184,23,"Private","Some-college",10,"Separated","Black","Female",35,"<=50K"
"6185",6185,44,"Local-gov","Some-college",10,"Married-civ-spouse","Black","Male",40,"<=50K"
"6186",6186,20,"Private","Some-college",10,"Never-married","White","Male",20,"<=50K"
"6187",6187,46,"Private","HS-grad",9,"Married-civ-spouse","White","Male",42,"<=50K"
"6188",6188,19,"Private","9th",5,"Never-married","White","Male",40,"<=50K"
"6189",6189,37,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6190",6190,22,"Private","Some-college",10,"Never-married","White","Male",20,"<=50K"
"6191",6191,25,"Private","11th",7,"Married-civ-spouse","White","Female",40,"<=50K"
"6192",6192,49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"6193",6193,34,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6194",6194,47,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"6195",6195,30,"Private","Bachelors",13,"Never-married","Other","Female",40,">50K"
"6196",6196,21,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"6197",6197,22,"Local-gov","Some-college",10,"Never-married","White","Female",20,"<=50K"
"6198",6198,67,"Private","7th-8th",4,"Widowed","White","Female",12,"<=50K"
"6199",6199,28,"Private","Masters",14,"Never-married","Amer-Indian-Eskimo","Female",40,"<=50K"
"6200",6200,45,"Private","HS-grad",9,"Divorced","White","Male",50,"<=50K"
"6201",6201,46,"Private","HS-grad",9,"Divorced","Black","Female",40,"<=50K"
"6202",6202,48,"Private","Some-college",10,"Divorced","White","Male",40,">50K"
"6203",6203,56,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",45,"<=50K"
"6204",6204,40,"Private","Masters",14,"Married-civ-spouse","White","Male",60,">50K"
"6205",6205,56,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"6206",6206,35,"Private","Some-college",10,"Never-married","White","Male",65,"<=50K"
"6207",6207,43,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"6208",6208,32,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"6209",6209,64,"Private","HS-grad",9,"Divorced","White","Female",79,"<=50K"
"6210",6210,62,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"6211",6211,53,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",45,">50K"
"6212",6212,68,"Private","12th",8,"Married-civ-spouse","White","Male",35,"<=50K"
"6213",6213,24,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"6214",6214,39,"Private","10th",6,"Separated","White","Female",40,"<=50K"
"6215",6215,29,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"6216",6216,24,"Private","HS-grad",9,"Married-civ-spouse","Amer-Indian-Eskimo","Female",45,"<=50K"
"6217",6217,33,"Private","10th",6,"Divorced","White","Female",32,"<=50K"
"6218",6218,41,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"6219",6219,48,"Private","Masters",14,"Divorced","White","Male",40,"<=50K"
"6220",6220,47,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"6221",6221,30,"Self-emp-inc","Some-college",10,"Never-married","White","Female",40,">50K"
"6222",6222,59,"Private","9th",5,"Married-civ-spouse","White","Male",40,">50K"
"6223",6223,34,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"6224",6224,26,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",32,"<=50K"
"6225",6225,20,"Private","7th-8th",4,"Never-married","White","Male",40,"<=50K"
"6226",6226,32,"Private","Bachelors",13,"Never-married","White","Male",36,"<=50K"
"6227",6227,58,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"6228",6228,31,"Local-gov","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"6229",6229,33,"Private","HS-grad",9,"Married-civ-spouse","White","Male",30,">50K"
"6230",6230,22,"Private","11th",7,"Never-married","White","Male",40,"<=50K"
"6231",6231,38,"State-gov","Some-college",10,"Divorced","Asian-Pac-Islander","Female",40,"<=50K"
"6232",6232,30,"State-gov","Some-college",10,"Never-married","White","Female",5,"<=50K"
"6233",6233,23,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"6234",6234,27,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",60,"<=50K"
"6235",6235,31,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",72,"<=50K"
"6236",6236,58,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"6237",6237,42,"Private","Assoc-acdm",12,"Never-married","White","Male",36,">50K"
"6238",6238,20,"Self-emp-inc","Some-college",10,"Never-married","White","Male",20,"<=50K"
"6239",6239,47,"Federal-gov","Bachelors",13,"Married-civ-spouse","Other","Male",40,">50K"
"6240",6240,57,"Self-emp-not-inc","Doctorate",16,"Divorced","White","Female",25,"<=50K"
"6241",6241,47,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"6242",6242,49,"Local-gov","Bachelors",13,"Never-married","White","Male",60,">50K"
"6243",6243,18,"Private","11th",7,"Never-married","Black","Female",20,"<=50K"
"6244",6244,64,"Private","5th-6th",3,"Widowed","Black","Female",4,"<=50K"
"6245",6245,29,"Private","HS-grad",9,"Separated","White","Male",35,"<=50K"
"6246",6246,47,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",48,">50K"
"6247",6247,28,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"6248",6248,24,"Private","Bachelors",13,"Never-married","White","Male",4,"<=50K"
"6249",6249,34,"Private","HS-grad",9,"Never-married","White","Male",40,">50K"
"6250",6250,34,"Local-gov","Bachelors",13,"Divorced","White","Female",40,"<=50K"
"6251",6251,31,"Private","11th",7,"Married-civ-spouse","White","Male",51,"<=50K"
"6252",6252,23,"State-gov","HS-grad",9,"Never-married","White","Male",48,"<=50K"
"6253",6253,20,"Private","HS-grad",9,"Never-married","White","Female",20,"<=50K"
"6254",6254,25,"Private","9th",5,"Married-civ-spouse","White","Male",40,"<=50K"
"6255",6255,32,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"6256",6256,44,"Self-emp-inc","Some-college",10,"Married-civ-spouse","White","Male",60,"<=50K"
